"","","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"Carissa spinarum","Shrub","-2.08891833906948","-1.77184338726403","0.393792853440536","-0.344236507859868","0.471557369256537"
"Diospyros yunnanensis","Tree","-2.67461619817373","0.730320582242811","0.299937577521099","-1.66700935779619","-0.878677801930522"
"Jasminum nudiflorum ","Shrub","-1.61841670219459","-0.0400161221787695","0.727149774847001","0.345499923821454","0.137965024289178"
"Maytenus esquirolii","Shrub","-2.84048175130639","0.361743348003367","-0.483102040431449","-0.233872146126707","0.881308322589458"
"Murraya paniculata?","Shrub","-3.15346788130578","-1.72037071915659","-0.184684939172495","-1.1183256240933","0.123015157275775"
"Olea ferruginea","Tree","-5.29694471309271","-0.0596240303100987","0.954067230965987","-0.464115926673881","-0.160152075890466"
"Osteomeles schwerinae","Shrub","-2.57985908045218","1.51643375853968","-0.179005236045567","0.0413767157061943","0.210682117675398"
"Pistacia weinmanniifolia","Tree","-2.97444606496223","-3.21436755438891","0.609153123741141","-0.391248678433322","-1.72183841527221"
"Tarenna depauperata","Shrub","-3.63768185825942","0.527814699244698","-1.2034192333456","0.700015122337758","0.47007306297346"
"Bauhinia brachycarpa","Shrub","1.28304667736367","-0.633902111929033","2.19648367271446","-0.0544356440882166","-1.17939733717223"
"Bauhinia comosa","Liana","1.24318867190304","3.58732067996665","2.84883863432206","1.18595279369976","-0.800626883876988"
"Bauhinia championii","Liana","1.062940653679","-0.117249602657607","3.42903808615815","2.68272926977023","-0.898667250093455"
"Bridelia stipularis","Liana","-1.38276799800728","-0.237756103030905","-0.577237508480088","0.840663781801015","-0.200408172349522"
"Campylotropis delavayi","Shrub","0.189330460194545","1.31405713636793","1.34377331928394","-2.4916493232681","-1.05423122692166"
"Clausena excavata","Shrub","-3.40806553935929","3.03919437482817","-1.77607919509181","0.907142279538747","-0.0432570545862392"
"Jasminum extensum","Liana","0.456679005773861","-0.355873589783863","0.462191402435238","0.774274305625806","-0.0606082842524928"
"Melochia corchorifolia ","Shrub","-1.19838596802703","2.93845809975149","-1.08902182969357","-1.00284051456827","0.274518966538277"
"Phyllanthus franchetianus?","Shrub","-6.78007348811116","0.363183504698284","-0.647769362134161","-0.193611858756","0.291816472981205"
"Polyalthia cerasoides","Tree","-1.31509260898578","3.08389067369653","-1.37732588032216","2.21066001350206","-0.481004548026594"
"Salix myrtillacea","Shrub","-0.230527118565898","1.10542417050362","0.934213007908338","0.0266717241782519","0.828786845380118"
"Tamarindus indica","Tree","-0.730511563467052","-0.82140278106581","-0.132216445453346","-0.085173908673054","-0.0823334727996546"
"Terminthia paniculata ","Tree","0.70215786360434","-1.70562500753232","0.126229218104409","-0.963938685577471","1.3780686095564"
"Trigonostemon tuberculatus","Tree","-1.91657964562908","-1.4520480106455","-1.48744489977706","0.252563118711866","-2.11946629977419"
"Vitex negundo","Shrub","0.881168987334067","-0.191899918467315","1.14232690825437","1.10610090219651","1.387360537527"
"Woodfordia fruticosa","Shrub","1.29111598228815","2.1522790115421","2.84182534586744","-2.57156407212807","1.79712797802419"
"Acacia farnesiana ","Shrub","-2.07587272015749","-5.43105274693055","0.597872283432435","0.25889410683374","2.34196072973892"
"Acrocarpus fraxinifolius","Tree","3.40459304521332","-0.842514600169867","0.354295328146233","-1.37346000401282","-1.27078018849402"
"Argyreia osyrensis","Liana","3.80653007725608","2.09509886658508","-2.80412208364402","-0.551819292639735","0.509368831918904"
"Bombax ceiba ","Tree","5.06035696679044","-0.00269628744062975","-1.14042877286003","-1.65366576237658","-0.159386650104465"
"Burretiodendron kydiifolium","Tree","0.0543903847651021","1.7314079310564","0.482751377013354","0.186842048832704","1.18452835957612"
"Cipadessa baccifera","Tree","1.07024497564602","-0.721634306129342","-0.938229403321728","0.752953315655309","0.0265501728627755"
"Cissus repanda","Liana","4.83400871339017","1.98094605084885","-0.878604038151806","-0.979034209272272","-0.103320419407032"
"Dregea volubilis ","Liana","6.2172177644385","-2.01110724604888","0.100215647789948","2.31221986334046","0.54162106623969"
"Garuga pinnata ","Tree","4.99201045982797","-0.147472002338154","0.589395253374502","1.00614498931545","0.0760273691309462"
"Haldina cordifolia","Tree","1.26460519432663","0.784095138170103","-1.31460885979565","1.36870331074812","1.5588194945242"
"Lannea coromandelica","Tree","3.39812200794468","-2.24439613809231","-0.528055589564882","-1.40450506773904","0.0341918389391172"
"Phyllanthus emblica","Tree","0.798382365511012","-0.020780416329533","-0.00943580716976597","-0.111318458917804","0.100678954448121"
"Falconeria insignis ","Tree","4.68063047507683","-1.28595384987026","-2.14832479758953","-0.375675295386891","-0.676195343321432"
"Strophioblachia fimbricalyx","Shrub","-1.06847036889471","-2.1875403836775","-1.95476634902964","0.763778268222509","-0.750827822061267"
"Terminalia franchetii","Tree","0.28045887569387","-0.0945411106079868","0.420332225753718","0.308314484549625","-1.98484803511133"
