"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"MVL",0.250361527000645,0.177142023057318,0.539681756663505,0.616435589996885,0.138810890788085
"Hv",-0.252042679976955,-0.519687105156489,0.130106803880088,-0.247548915607303,0.586740090666595
"K[s]",0.419687057034551,0.00905021519448174,0.380875101246353,0.639253659124205,0.0375529912259379
"P[50]",0.855782466063029,-0.354536692081684,0.274881947428252,-0.0794283819091441,-0.0708981053864965
"P[88]",0.819240934462501,-0.462725469470578,0.117495786240154,-0.213813868357846,-0.0528024906838684
" ",0.856520224441419,0.219345675900143,-0.109658415562383,-0.180465443104908,-0.0840910490517041
"rho[wood]",-0.838814862624009,-0.0867854967421126,0.273697481220429,0.00176417140283924,0.143798749889664
"  ",0.82787755139182,0.0863008562032792,-0.267722787018615,-0.0741482446128042,-0.134235725474947
"   ",0.893425494987228,0.127312251679997,-0.0146574357628883,-0.0193066358386943,0.183181161599017
"    ",0.924449832501909,-0.00342625233964583,-0.0840531863511623,0.0454321117827482,0.140942596790256
"     ",0.790495397631655,0.140235191643183,-0.407608622692761,0.0604865561397404,0.0993338897371251
"C[leaf]",0.580115804374254,0.564799706225767,0.185459346449437,-0.32439310259798,0.298837251321374
"epsilon",-0.551844345364781,-0.689851584331909,-0.31771294792337,0.117455340639512,-0.0721556984683003
"RWC[tlp]",-0.239086493050851,-0.739712678555199,-0.488045620270563,0.265516862158258,-0.00948254071435589
"LMA",-0.732940439880022,-0.0411651717570526,0.311516146159657,-0.34160651891728,0.212905597616104
"rho[leaf]",-0.439852293243361,0.0224300705274617,0.506228303203061,-0.276300248061166,-0.52415523559473
"HSM[50]",-0.343152303828775,0.780048341010438,-0.319715160536962,-0.0246818815171091,-0.060193348891181
"HSM[88]",-0.613261133956866,0.706874321655656,-0.113583572237864,0.162156945105223,-3.27203001690862e-05
"HSM[tlp]",-0.761737987836379,0.33412750805175,-0.310488521732269,0.0806699561204675,0.233706397961478
