Species,Sp,Leafhabit,Lifeform,MVL,KS,P50,P88,HSM50,HSM88,HSMTLP,HV,rxyl,WOODSWC,po,ptlp,LMA,rleaf,Fmin,SWCleaf,Cft,epsilon,RWCtlp,AllBranch,DeadBranch,Branchdiebak,AllTree,DeadTree,Mortality
Carissa spinarum,CAS,E,S,69.83,1.35,-4.45,-8.59,NA,NA,1.51,NA,0.72,0.74,-2.38,-2.94,187.51,0.45,NA,1.11,0.37,28.58,88.89,NA,NA,NA,NA,NA,NA
Diospyros yunnanensis,DIY,E,T,53.4,0.56,-6.41,-9.68,2.73,6,3.23,2.1,0.63,0.65,-2.39,-3.18,136.21,0.77,-3.68,1.05,0.43,14.41,83.25,21,16,76.19,114,5,4.4
Jasminum nudiflorum ,JAN,E,S,90,1.37,-5.62,-11.94,0.07,6.39,3.15,1.77,0.74,0.54,-2.04,-2.47,105.95,0.72,-5.55,2.05,0.6,17.21,86.94,25,13,52,47,7,14.9
Maytenus esquirolii,MAE,E,S,67.83,1.06,-7.34,-12.34,NA,NA,4.52,2.45,0.72,0.72,-2.22,-2.82,153.42,0.51,-4.56,1.39,0.48,20.18,87.4,31,9,29.03,NA,NA,NA
Murraya paniculata?,MUE,E,S,35.08,0.57,-5.8,-9.35,,,3.12,NA,0.83,0.46,-2.06,-2.68,145.41,NA,NA,1.02,0.31,27.68,90.89,NA,NA,NA,NA,NA,NA
Olea ferruginea,OLF,E,T,62.5,1.1,-7.08,-14.15,1.45,8.52,3.57,2.49,0.87,0.37,-2.98,-3.51,178.37,0.77,-5.63,1.15,0.43,27.97,85.12,14,0,0,16,0,0
Osteomeles schwerinae,OSS,E,S,78.5,1.21,-6.54,-12.09,2.51,8.06,6.54,NA,0.72,0.64,NA,NA,NA,NA,-4.03,NA,NA,NA,NA,40,1,1.3,42,1,2.4
Pistacia weinmanniifolia,PIW,E,T,77.42,1.07,-4.7,-7.02,0.89,3.21,1.74,2.22,0.71,0.67,-2.33,-2.96,180.69,0.95,-3.81,0.84,0.17,60.54,93.56,25,1,4.13,29,0,0
Tarenna depauperata,TAD,E,S,63.9,0.91,-8.21,-14.53,1.65,7.97,5.43,1.31,0.75,0.58,-2.13,-2.78,132.57,0.49,-6.56,1.57,0.41,21.34,90.34,28,4,14.29,47,3,6.4
Bauhinia brachycarpa,BAB,SD,S,83.08,3.19,-2.94,-5.58,-0.63,2.01,0.63,1.42,0.68,0.66,-1.91,-2.31,63.01,0.78,-3.57,1.61,0.47,9.94,80.3,34,33,97.06,274,156,56.9
Bauhinia comosa,BAC,SD,L,171.57,3.61,-2.93,-10.63,2.93,10.63,0.58,NA,0.56,0.94,-1.61,-2.35,85.01,0.76,NA,1.41,0.73,6.02,75.49,NA,NA,NA,NA,NA,NA
Bauhinia championii,BACH,SD,L,158.08,17.59,-3.76,-8.9,-0.95,4.19,1.58,1.17,0.58,0.83,-1.59,-2.18,77.36,0.85,-4.71,1.15,0.38,9.47,83.1,25,7,28,NA,NA,NA
Bridelia stipularis,BRS,SD,L,82.83,1.91,-5.62,-10.67,2.1,7.15,3.13,2.4,0.63,0.77,-2.11,-2.49,82.76,0.57,-3.52,1.44,0.28,23.52,88.55,30,17,56.67,30,0,0
Campylotropis delavayi,CAD,SD,S,55.5,0.49,-4.18,-7.27,1.6,4.69,1.93,1.44,0.71,0.72,-1.76,-2.25,102.34,0.96,-2.58,1.53,0.78,8.88,78.09,33,15,45.45,56,40,71.4
Clausena excavata,CLE,SD,S,57.9,2.06,-8.11,-17.72,4.69,14.3,5.42,1.53,0.63,0.65,-2.03,-2.69,126.66,0.6,-3.42,1.59,0.46,18.55,89.68,30,8,26.14,153,6,3.92
Jasminum extensum,JAE,SD,L,76.17,6.1,-4.06,-8.59,NA,NA,1.71,1.55,0.62,0.75,-1.84,-2.35,106.93,0.57,NA,2,0.62,17.25,89.1,NA,NA,NA,NA,NA,NA
Melochia corchorifolia ,MEC,SD,S,58.67,0.87,-6.67,-10.94,4.2,8.47,6.67,1.93,0.56,0.91,NA,NA,NA,NA,-2.47,NA,NA,NA,NA,37,12,32.43,30,11,36.76
Phyllanthus franchetianus?,PHF,SD,S,47.5,0.58,-9,-16.71,1.82,9.53,9,2.54,0.81,0.49,NA,NA,NA,NA,-7.18,NA,NA,NA,NA,30,0,0,30,0,0
Polyalthia cerasoides,POC,SD,T,96.83,4.14,-7.84,-12.82,4.75,9.73,5.22,0.91,0.6,0.85,-2.2,-2.62,57.54,0.44,-3.09,1.73,0.34,13.31,82.96,32,11,34.38,283,22,7.8
Salix myrtillacea,SAM,SD,S,88.17,2.33,-5.22,-8.67,NA,NA,2.98,2.14,0.78,0.58,-1.72,-2.24,94.98,NA,NA,1.74,0.7,10.77,82.73,NA,NA,NA,NA,NA,NA
Tamarindus indica,TAI,SD,T,32.67,3.56,NA,NA,NA,NA,NA,NA,0.68,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,5,33.33,NA,NA,NA
Terminthia paniculata ,TEP,SD,T,58.5,0.75,-3.5,-6.07,0.01,2.58,1.66,3.03,0.74,0.48,-1.37,-1.84,88.91,0.47,-3.49,1.69,0.45,13.12,89.06,25,19,76,NA,NA,NA
Trigonostemon tuberculatus,TRT,SD,T,26.83,1.17,-5.92,-9,0.93,4.01,3.07,0.79,0.64,0.69,-2.43,-2.85,70.31,0.68,-4.99,1.85,0.22,29.49,91.26,25,17,68,NA,NA,NA
Vitex negundo,VIN,SD,S,140.05,1.44,-4.01,-8.3,-0.44,3.85,1.82,1.69,0.64,0.62,-1.69,-2.19,90.36,0.35,-4.45,1.66,0.62,11.92,83.62,28,27,96.43,100,24,24
